date,action,price,size,cash,value
2020-10-06,BUY,11662.400390625,21,989719.4233398438,989719.4233398438
2020-10-27,SELL,11889.400390625,21,743203.5815429688,992880.9897460938
2020-11-05,BUY,12120.2998046875,21,989525.1733398438,989525.1733398438
2020-12-21,SELL,13328.400390625,21,731990.6274414062,1011887.0356445312
2020-12-28,BUY,13873.2001953125,21,1014782.9233398438,1014782.9233398438
2021-01-18,SELL,14281.2998046875,21,722198.3315429688,1022105.6274414062
2021-01-20,BUY,14644.7001953125,21,1027142.4897460938,1027142.4897460938
2021-02-19,SELL,14981.75,21,720745.1479492188,1035361.8979492188
2021-04-29,BUY,14894.900390625,21,1028934.8520507812,1028934.8520507812
2021-05-04,SELL,14496.5,21,721681.7602539062,1026108.2602539062
2021-05-07,BUY,14823.150390625,21,1028656.6020507812,1028656.6020507812
2021-06-18,SELL,15683.349609375,21,714867.2602539062,1044217.6020507812
2021-08-03,BUY,16130.75,21,1045543.7602539062,1045543.7602539062
2021-09-30,SELL,17618.150390625,21,704108.9643554688,1074090.1225585938
2021-10-13,BUY,18161.75,21,1072282.0307617188,1072282.0307617188
2021-10-22,SELL,18114.900390625,21,687172.4643554688,1067585.3725585938
2021-12-29,BUY,17213.599609375,21,1067805.8725585938,1067805.8725585938
2022-01-21,SELL,17617.150390625,21,706522.9389648438,1076483.0971679688
2022-03-14,BUY,16871.30078125,21,1066654.0307617188,1066654.0307617188
2022-04-18,SELL,17173.650390625,21,716731.0307617188,1077377.6889648438
2022-05-27,BUY,16352.4501953125,21,1072862.6889648438,1072862.6889648438
2022-06-13,SELL,15774.400390625,21,722973.2807617188,1054235.6889648438
2022-06-28,BUY,15850.2001953125,21,1053347.3725585938,1053347.3725585938
2022-08-25,SELL,17522.44921875,21,721566.2807617188,1089537.7143554688
2022-09-12,BUY,17936.349609375,21,1090303.1889648438,1090303.1889648438
2022-09-16,SELL,17530.849609375,21,710832.1225585938,1078979.9643554688
2022-10-18,BUY,17486.94921875,21,1080899.3725585938,1080899.3725585938
2022-12-08,SELL,18609.349609375,21,713142.1225585938,1103938.4643554688
2023-01-24,BUY,18118.30078125,21,1101570.7143554688,1101570.7143554688
2023-02-13,SELL,17770.900390625,21,725839.7807617188,1099028.6889648438
2023-03-08,BUY,17754.400390625,21,1102366.6225585938,1102366.6225585938
2023-03-10,SELL,17412.900390625,21,732985.0307617188,1098655.9389648438
2023-03-31,BUY,17359.75,21,1093225.3471679688,1093225.3471679688
2023-06-23,SELL,18665.5,21,727866.2807617188,1119841.7807617188
2023-06-28,BUY,18972.099609375,21,1120381.4643554688,1120381.4643554688
2023-07-27,SELL,19659.900390625,21,717411.3979492188,1130269.3061523438
2023-09-07,BUY,19727.05078125,21,1129978.4643554688,1129978.4643554688
2023-09-22,SELL,19674.25,21,713759.5307617188,1126918.7807617188
2023-11-08,BUY,19443.5,21,1126925.0971679688,1126925.0971679688
2024-01-08,SELL,21513.0,21,719623.7807617188,1171396.7807617188
2024-01-15,BUY,22097.44921875,21,1172065.6225585938,1172065.6225585938
2024-01-17,SELL,21571.94921875,21,709387.3061523438,1162398.2397460938
2024-02-19,BUY,22122.25,21,1160094.5561523438,1160094.5561523438
2024-02-28,SELL,21951.150390625,21,693958.6225585938,1154932.7807617188
2024-03-04,BUY,22405.599609375,21,1155597.4389648438,1155597.4389648438
2024-03-13,SELL,21997.69921875,21,686115.1225585938,1148066.8061523438
2024-04-02,BUY,22453.30078125,21,1151194.7807617188,1151194.7807617188
2024-04-15,SELL,22272.5,21,680067.1225585938,1147789.6225585938
2024-04-29,BUY,22643.400390625,21,1145173.0307617188,1145173.0307617188
2024-05-06,SELL,22442.69921875,21,670471.1889648438,1141767.8725585938
2024-05-22,BUY,22597.80078125,21,1138823.6889648438,1138823.6889648438
2024-05-31,SELL,22530.69921875,21,656503.0307617188,1129647.7143554688
2024-06-07,BUY,23290.150390625,21,1145044.9389648438,1145044.9389648438
2024-07-23,SELL,24479.05078125,21,656601.7553710938,1170661.8217773438
2024-07-30,BUY,24857.30078125,21,1169285.2553710938,1169285.2553710938
2024-08-02,SELL,24717.69921875,21,645311.0971679688,1164382.7807617188
2024-08-22,BUY,24811.5,21,1150478.6889648438,1150478.6889648438
2024-09-06,SELL,24852.150390625,21,629192.5307617188,1151087.6889648438
2024-09-16,BUY,25383.75,21,1152856.9389648438,1152856.9389648438
2024-10-03,SELL,25250.099609375,21,619067.3725585938,1149319.4643554688
2024-11-26,BUY,24194.5,21,1144373.9643554688,1144373.9643554688
2024-12-19,SELL,23951.69921875,21,634601.0561523438,1137586.7397460938
