Label,Final Value,Net PnL,CAGR (%),Max Drawdown (%),Trades,Win Rate (%)
MA Crossover,1427797.08,428242.21,4.24,-5.18,12,75.0
Bollinger Band,1196099.71,197003.51,1.95,-14.45,47,82.98
