Date,Open,High,Low,Close,Volume,SMA_Fast,SMA_Slow,SMA_20,STD_20,Upper_Band,Lower_Band
2015-05-19,8356.2001953125,8427.7998046875,8335.0,8365.650390625,140300,8267.385009765625,8564.036675347223,8267.385009765625,103.04865837034058,8473.482326506306,8061.287693024944
2015-05-20,8392.650390625,8440.349609375,8391.4501953125,8423.25,123600,8269.660009765625,8564.345562065972,8269.660009765625,106.0713378265442,8481.802685418714,8057.517334112536
2015-05-21,8434.5,8446.349609375,8382.5,8421.0,143800,8269.225,8564.818891059027,8269.225,105.3961430539395,8480.017286107879,8058.432713892122
2015-05-22,8432.5,8489.5498046875,8420.599609375,8458.9501953125,187300,8272.25751953125,8568.503336588541,8272.25751953125,110.07414091836017,8492.40580136797,8052.109237694529
2015-05-25,8438.150390625,8441.9501953125,8364.150390625,8370.25,121300,8275.50751953125,8571.482779947917,8275.50751953125,112.04153035002199,8499.590580231294,8051.424458831205
2015-05-26,8377.099609375,8378.900390625,8320.0498046875,8339.349609375,116800,8281.785009765625,8572.646668836805,8281.785009765625,111.91928920616482,8505.623588177954,8057.946431353295
2015-05-27,8302.75,8342.849609375,8277.9501953125,8334.599609375,165500,8284.235009765625,8573.203331163195,8284.235009765625,112.54178157316298,8509.31857291195,8059.151446619299
2015-05-28,8345.7001953125,8364.5,8270.150390625,8319.0,232300,8288.197509765625,8573.15888671875,8288.197509765625,112.28794276574881,8512.773395297123,8063.621624234127
2015-05-29,8327.099609375,8443.900390625,8305.7001953125,8433.650390625,363900,8300.805029296875,8574.650553385416,8300.805029296875,113.82263457868089,8528.450298454236,8073.159760139513
2015-06-01,8417.25,8467.150390625,8405.400390625,8433.400390625,122200,8305.8775390625,8576.3822265625,8305.8775390625,117.48530749783465,8540.848154058169,8070.9069240668305
2015-06-02,8442.7998046875,8445.349609375,8226.0498046875,8236.4501953125,146800,8301.46005859375,8573.518891059028,8301.46005859375,118.39385059806824,8538.247759789887,8064.672357397613
2015-06-03,8232.4501953125,8236.7001953125,8094.14990234375,8135.10009765625,171400,8303.365063476562,8569.311116536459,8303.365063476562,115.19414127559484,8533.753346027752,8072.976780925372
2015-06-04,8155.14990234375,8160.0498046875,8056.75,8130.64990234375,154700,8307.032568359375,8564.643891059028,8307.032568359375,107.8833475665434,8522.799263492461,8091.265873226288
2015-06-05,8119.14990234375,8191.0,8100.14990234375,8114.7001953125,162100,8303.192578125,8558.189453125,8303.192578125,113.43594850033331,8530.064475125666,8076.320681124333
2015-06-08,8124.35009765625,8131.0,8030.5498046875,8044.14990234375,135900,8289.137573242188,8550.574452039931,8289.137573242188,127.14523163073987,8543.428036503667,8034.8471099807075
2015-06-09,8026.5,8057.14990234375,8005.14990234375,8022.39990234375,136000,8283.91005859375,8542.363335503473,8283.91005859375,136.00502891841484,8555.92011643058,8011.900000756921
2015-06-10,8024.14990234375,8152.25,8023.7998046875,8124.4501953125,136800,8278.36005859375,8534.461675347222,8278.36005859375,140.2841157642356,8558.928290122221,7997.791827065278
2015-06-11,8157.2998046875,8163.0498046875,7958.25,7965.35009765625,166200,8265.417553710937,8523.960009765626,8265.417553710937,156.54237794854788,8578.502309608033,7952.332797813841
2015-06-12,7959.85009765625,7995.60009765625,7940.2998046875,7982.89990234375,136600,8251.445068359375,8513.611121961805,8251.445068359375,168.82052286931741,8589.08611409801,7913.80402262074
2015-06-15,7986.60009765625,8057.7001953125,7944.85009765625,8013.89990234375,133000,8233.457543945313,8503.183902994791,8233.457543945313,174.19431894657194,8581.846181838457,7885.068906052169
2015-06-16,8004.2001953125,8061.85009765625,7952.35009765625,8047.2998046875,124000,8217.540014648437,8494.721674262153,8217.540014648437,176.0146457282377,8569.569306104913,7865.510723191962
2015-06-17,8084.2001953125,8136.85009765625,8048.9501953125,8091.5498046875,152500,8200.955004882813,8486.878889973957,8200.955004882813,171.17206465702824,8543.29913419687,7858.6108755687565
2015-06-18,8113.7001953125,8186.89990234375,8101.7998046875,8174.60009765625,144800,8188.635009765625,8480.412782118055,8188.635009765625,163.1816511752107,8514.998312116046,7862.271707415203
2015-06-19,8201.150390625,8250.7998046875,8195.650390625,8224.9501953125,147100,8176.935009765625,8474.87111545139,8176.935009765625,150.69094679773494,8478.316903361096,7875.553116170156
2015-06-22,8259.2998046875,8369.4501953125,8257.400390625,8353.099609375,122700,8176.077490234375,8470.886664496527,8176.077490234375,149.5776583022385,8475.232806838852,7876.922173629898
2015-06-23,8377.4501953125,8398.4501953125,8334.9501953125,8381.5498046875,131700,8178.1875,8467.781108940972,8178.1875,152.2753886348981,8482.738277269797,7873.6367227302035
2015-06-24,8399.400390625,8421.349609375,8338.900390625,8360.849609375,130100,8179.5,8465.942220052084,8179.5,153.7999950057256,8487.099990011451,7871.900009988549
2015-06-25,8336.25,8423.150390625,8329.5,8398.0,201200,8183.45,8464.080555555556,8183.45,158.5135360003686,8500.477072000736,7866.422927999262
2015-06-26,8393.9501953125,8408.5498046875,8339.7001953125,8381.099609375,110600,8180.8224609375,8461.343880208333,8180.8224609375,154.5334803100765,8489.889421557653,7871.7555003173475
