fast_ema,slow_ema,signal_ema,min_days_between_trades,trade_size,final_value,cagr
8,20,8,10,11,1989819.0532226562,0.07125690717615307
8,20,8,10,21,1862482.6430664062,0.06419280921020509
8,20,8,10,31,1658984.1650390625,0.051945538926794876
8,20,8,10,41,1541542.494140625,0.04424708636825536
8,20,10,2,1,1038745.755859375,0.0038102003544588925
8,20,10,2,11,1400117.888671875,0.03424270325328371
8,20,10,2,21,1550645.18359375,0.0448623265629462
8,20,10,2,31,1586458.0,0.04725174441041213
8,20,10,2,41,1409155.3359375,0.03490862611593992
8,20,10,4,1,1041822.75390625,0.004107277857400948
8,20,10,4,11,1353773.771484375,0.030765832091808276
8,20,10,4,21,1425986.06640625,0.03613861642329641
8,20,10,4,31,1525467.013671875,0.04315253343595882
8,20,10,4,41,1373112.171875,0.03222948269430925
8,20,10,6,1,1044673.4033203125,0.004381798086727562
8,20,10,6,11,1365429.9150390625,0.03165027634478634
8,20,10,6,21,1503171.5869140625,0.04161716509625757
8,20,10,6,31,1536971.2529296875,0.04393688728710443
8,20,10,6,41,1434800.9560546875,0.036777604648222884
8,20,10,8,1,1125906.9067382812,0.011934410698230868
8,20,10,8,11,1881654.9682617188,0.06528369173805282
8,20,10,8,21,1904815.4643554688,0.06658823399654379
8,20,10,8,31,1754237.75,0.057837292907515936
8,20,10,8,41,1876807.5219726562,0.06500882596905266
8,20,10,10,1,1108817.7080078125,0.010387252601570252
8,20,10,10,11,1692557.8408203125,0.05405613784706076
8,20,10,10,21,1491234.1943359375,0.04078665590102193
8,20,10,10,31,1367331.5029296875,0.031793919810517046
8,20,10,10,41,1215955.3081054688,0.019753606893561537
8,20,12,2,1,1020463.80078125,0.0020286101716733285
8,20,12,2,11,1248029.6328125,0.02241318874667253
8,20,12,2,21,1270619.576171875,0.02424965809691426
8,20,12,2,31,1349758.892578125,0.030459603998192586
8,20,12,2,41,1263529.341796875,0.023676436885620822
8,20,12,4,1,1034660.6015625,0.00341456144813046
8,20,12,4,11,1314608.25,0.02774297298094952
8,20,12,4,21,1337671.509765625,0.029532684674161036
8,20,12,4,31,1381692.041015625,0.0328729275025208
8,20,12,4,41,1262219.423828125,0.023570217801954785
8,20,12,6,1,1031595.6005859375,0.0031167981915067866
8,20,12,6,11,1319791.4306640625,0.028147636105871232
8,20,12,6,21,1436703.3056640625,0.036915041662085146
8,20,12,6,31,1498247.4091796875,0.04127530160789239
8,20,12,6,41,1378460.7700195312,0.03263102248657912
8,20,12,8,1,1121982.853515625,0.011581028042008334
8,20,12,8,11,2064814.30859375,0.07522916750286512
8,20,12,8,21,1660013.1630859375,0.05201079527628649
8,20,12,8,31,1536994.3515625,0.0439384568193002
8,20,12,8,41,1762107.919921875,0.05831111769884423
8,20,12,10,1,1089271.0063476562,0.008591073455214593
8,20,12,10,11,1826454.2397460938,0.06211520875997789
8,20,12,10,21,1496652.1020507812,0.041164329738104355
8,20,12,10,31,1490640.1030273438,0.04074516763161329
8,20,12,10,41,1251584.2280273438,0.02270413591643794
8,20,14,2,1,1022652.8510742188,0.0022434415935410623
8,20,14,2,11,1261560.7446289062,0.023516769104686475
8,20,14,2,21,1526928.8315429688,0.04325249417499011
8,20,14,2,31,1639719.0727539062,0.05071702323206151
8,20,14,2,41,1738192.5678710938,0.05686533462921717
8,20,14,4,1,1024686.4526367188,0.002442646922777403
8,20,14,4,11,1298379.9575195312,0.026466639818452098
8,20,14,4,21,1393762.5815429688,0.03377209287937677
8,20,14,4,31,1449064.4106445312,0.037804112288266634
8,20,14,4,41,1279865.9399414062,0.024992885566352374
8,20,14,6,1,1037099.4506835938,0.003650927778415358
8,20,14,6,11,1408093.9575195312,0.03483061813807553
8,20,14,6,21,1570586.8061523438,0.046198877235944735
8,20,14,6,31,1502258.8969726562,0.04155387730895188
8,20,14,6,41,1328493.9418945312,0.028823856123473712
8,20,14,8,1,1124492.9555664062,0.01180720451258721
8,20,14,8,11,2075757.1440429688,0.07579788272107524
8,20,14,8,21,1920295.6020507812,0.06745223482578644
8,20,14,8,31,1505104.7060546875,0.04175109741709715
8,20,14,8,41,1544430.7719726562,0.0444426550275292
8,20,14,10,1,1078976.2060546875,0.007633373144634081
8,20,14,10,11,1834554.0908203125,0.06258548514344997
8,20,14,10,21,1512188.9541015625,0.04224059589322038
8,20,14,10,31,1492670.6181640625,0.04088690689504726
8,20,14,10,41,1262998.5439453125,0.023633407312956045
8,30,6,2,1,1043663.2548828125,0.004284597044092564
8,30,6,2,11,1480295.8037109375,0.04002037949985682
8,30,6,2,21,1742052.923828125,0.057099916197093314
8,30,6,2,31,1701528.546875,0.0546136979796521
8,30,6,2,41,1787031.99609375,0.05979921040058489
